ID,AGE,GENDER
1,19,Male
2,20,Female
3,20,Female
4,20,Female
5,18,Female
6,20,Female
7,18,Female
8,22,Male
9,24,Male
10,42,Female
11,18,Female
12,22,Male
13,19,Female
14,31,Male
15,21,Female
16,19,Female
17,23,Female
18,18,Female
19,18,Female
20,21,Female
21,19,Male
22,19,Female
23,20,Female
24,18,Male
25,24,Female
26,21,Male
27,19,Female
28,19,Female
29,26,Male
30,20,Female
31,21,Female
32,59,Female
33,24,Male
34,21,Female
35,20,Female
36,18,Male
37,18,Male
38,19,Male
39,18,Female
40,19,Male
41,23,Female
42,20,Male
43,19,Male
44,17,Female
45,19,Female
46,21,Female
47,19,Male
48,21,Female
49,19,Female
50,18,Male
51,21,Female
52,23,Female
53,18,Female
54,20,Female
55,19,Female
56,22,Male
57,19,Female
58,18,Female
59,21,Female
60,18,Female
61,20,Female
